ts,protons_gt_1MeV,protons_gt_5MeV,protons_gt_10MeV,protons_gt_30MeV,protons_gt_50MeV,protons_gt_100MeV,electrons_gt_0_8MeV,electrons_gt_2_0MeV,F10_7,speed_km_s,density_protons_cm3,P10_max,група
2017-08-30 09:00:00,0.8761666666666666,0.2333333333333333,0.16691666666666669,0.08435,0.06613333333333334,0.031466666666666664,2046.6666666666667,26.125,87.0,349.0,2.9,0.248,тиха
2017-08-30 10:00:00,0.7680833333333333,0.22141666666666668,0.1749166666666667,0.09000833333333334,0.07177499999999999,0.036283333333333334,2173.3333333333335,26.558333333333334,87.0,346.0,3.9,0.388,тиха
2017-08-30 11:00:00,0.8050833333333333,0.21816666666666665,0.17616666666666667,0.09010833333333333,0.07258333333333333,0.03671666666666667,2496.6666666666665,32.15833333333333,87.0,346.0,3.8,0.306,тиха
2017-08-30 12:00:00,1.0996666666666666,0.25633333333333336,0.17941666666666667,0.108325,0.08685833333333333,0.042,2864.1666666666665,37.483333333333334,87.0,346.0,3.1,0.252,тиха
2017-08-30 13:00:00,1.2611666666666668,0.27175,0.19166666666666668,0.11061666666666665,0.08597500000000001,0.036375,3490.8333333333335,48.18333333333334,87.0,345.0,3.3,0.299,тиха
2017-08-30 14:00:00,1.7375,0.2551666666666667,0.17983333333333332,0.09495833333333333,0.07185000000000001,0.03685833333333333,4141.666666666667,59.699999999999996,87.0,346.0,3.6,0.36,тиха
2017-08-30 15:00:00,2.939166666666667,0.29433333333333334,0.20091666666666666,0.11178333333333333,0.09243333333333333,0.050475,4780.833333333333,72.125,87.0,346.0,3.6,0.415,тиха
2017-08-30 16:00:00,4.430833333333333,0.2501666666666667,0.17058333333333334,0.10599166666666666,0.08023333333333334,0.04259166666666667,5827.5,95.52499999999999,87.0,346.0,3.8,0.233,тиха
2017-08-30 17:00:00,6.68,0.241,0.16841666666666666,0.092375,0.07569166666666667,0.04645833333333333,6992.5,126.16666666666667,87.0,346.0,3.5,0.254,тиха
2017-08-30 18:00:00,8.220833333333333,0.2544166666666667,0.18799999999999997,0.09665,0.07208333333333333,0.036975,7673.333333333333,148.58333333333334,87.0,346.0,4.0,0.418,тиха
2017-08-30 19:00:00,9.8475,0.26725,0.20666666666666667,0.10039166666666666,0.07869166666666667,0.04400833333333334,8290.0,167.25,87.0,346.0,3.9,0.341,тиха
2017-08-30 20:00:00,9.13,0.2795,0.18025,0.087175,0.0712,0.037975,7723.333333333333,151.41666666666666,87.0,346.0,4.0,0.336,тиха
2017-08-30 21:00:00,8.630833333333333,0.28058333333333335,0.19725,0.09601666666666668,0.078025,0.04303333333333333,7500.833333333333,142.41666666666666,87.0,346.0,3.3,0.433,тиха
2017-08-30 22:00:00,7.177499999999999,0.24783333333333332,0.18766666666666665,0.095675,0.07460833333333333,0.04335833333333333,7148.333333333333,129.16666666666666,87.0,345.0,4.2,0.265,тиха
2017-08-30 23:00:00,6.140000000000001,0.25325000000000003,0.19291666666666665,0.09245833333333332,0.07085833333333333,0.03745833333333334,6687.5,116.16666666666667,87.0,345.0,4.5,0.327,тиха
2017-08-31 00:00:00,4.891666666666667,0.25033333333333335,0.18366666666666667,0.11184166666666667,0.08640833333333332,0.044191666666666664,6091.666666666667,99.50833333333333,92.0,346.0,2.6,0.269,тиха
2017-08-31 01:00:00,4.1258333333333335,0.2800833333333333,0.20341666666666666,0.09465833333333333,0.07655833333333333,0.043500000000000004,5319.166666666667,79.31666666666666,92.0,358.0,7.7,0.302,тиха
2017-08-31 02:00:00,4.653333333333333,0.23591666666666666,0.17716666666666667,0.10890833333333333,0.08798333333333334,0.04629166666666667,4360.833333333333,47.300000000000004,92.0,360.0,8.0,0.243,тиха
2017-08-31 03:00:00,3.265,0.27808333333333335,0.18791666666666665,0.090825,0.07284166666666667,0.036333333333333336,3311.6666666666665,29.799999999999997,92.0,355.0,11.8,0.36,тиха
2017-08-31 04:00:00,2.2333333333333334,0.27941666666666665,0.18633333333333335,0.08789999999999999,0.07498333333333333,0.04319166666666666,2234.1666666666665,15.233333333333334,92.0,361.0,12.5,0.367,тиха
2017-08-31 05:00:00,1.4894166666666668,0.24758333333333335,0.16958333333333334,0.08450833333333334,0.07116666666666667,0.0339,1071.0833333333333,6.955000000000001,92.0,407.0,31.7,0.316,тиха
2017-08-31 06:00:00,4.060833333333333,0.25166666666666665,0.17700000000000002,0.09074166666666666,0.073525,0.03924166666666667,332.5,2.87625,92.0,467.0,24.2,0.254,тиха
2017-08-31 07:00:00,1.7113333333333334,0.24116666666666667,0.15466666666666665,0.08313333333333334,0.062425,0.03291666666666667,475.0,7.452500000000001,92.0,588.0,7.1,0.21,тиха
2017-08-31 08:00:00,5.203166666666667,0.289,0.19499999999999998,0.08105,0.064,0.0336,914.4933333333333,18.6275,92.0,608.0,5.2,0.316,тиха
2017-08-31 09:00:00,47.75833333333333,0.2658333333333333,0.18958333333333333,0.10395833333333333,0.08440833333333332,0.04430833333333334,7764.166666666667,255.91666666666666,92.0,626.0,4.5,0.297,тиха
2017-08-31 10:00:00,6.947500000000001,0.25016666666666665,0.1935,0.10039166666666666,0.08225833333333334,0.04355,3030.8333333333335,42.2925,92.0,649.0,4.4,0.343,тиха
2017-08-31 11:00:00,0.91725,0.20958333333333334,0.16316666666666665,0.09096666666666665,0.0687,0.0376,367.195,4.482166666666666,92.0,654.0,4.0,0.313,тиха
2017-08-31 12:00:00,9.484416666666666,0.25833333333333336,0.18533333333333335,0.08313333333333334,0.061941666666666666,0.03069166666666667,372.72499999999997,8.7125,92.0,633.0,3.4,0.356,тиха
2017-08-31 13:00:00,51.03333333333333,0.23641666666666664,0.1645,0.08795833333333335,0.07151666666666666,0.03825,1807.0833333333333,24.683333333333334,92.0,609.0,3.3,0.264,тиха
2017-08-31 14:00:00,62.25416666666666,0.26991666666666664,0.19666666666666666,0.08608333333333333,0.070975,0.04351666666666667,4909.166666666667,28.983333333333334,92.0,602.0,3.2,0.322,тиха
